qid,cmid
Q2414171,AM24422
Q2416215,AM42882
Q2454585,AM42883
Q2470611,AM42884
Q2479606,AM23617
Q2497438,AM43097
Q2511922,AM42585
Q2523849,AM42590
Q2559155,AM25970
Q2577600,AM42591
Q2610662,AM42593
Q2614019,AM26691
Q2617267,AM43085
Q2629081,AM11454
Q2633124,AM42631
Q2635158,AM42703
Q2667474,AM42704
Q2670831,AM42632
Q2704093,AM42705
Q2744988,AM28599
Q2748708,AM27808
Q2811818,AM42707
Q2815472,AM27257
Q2826229,AM42541
Q2839628,AM28194
Q2842201,AM42709
Q2852016,AM42748
Q2886278,AM43098
Q2909446,AM42576
Q2911414,AM43046
Q2918454,AM42710
Q2920526,AM42711
Q3006706,AM42714
Q3006708,AM42715
Q3007470,AM42579
Q3026693,AM42716
Q3032396,AM42717
Q3043529,AM42885
Q3053269,AM24561
Q3053271,AM24558
Q3053276,AM23323
Q3063552,AM42820
Q3073537,AM42772
Q3079213,AM42767
Q3098938,AM42888
Q3108185,AM42889
Q3114993,AM42773
Q3117285,AM42890
Q3119146,AM42891
Q3120811,AM28601
Q3137989,AM24374
Q3216325,AM42636
Q3236289,AM42637
Q3236732,AM42638
Q3319076,AM11417
Q3365353,AM28948
Q3366453,AM42718
Q3393738,AM192786
Q3399982,AM42719
Q3408764,AM42720
Q3414272,AM42721
Q3418784,AM42722
Q3422091,AM23789
Q3458428,AM43082
Q3485791,AM42724
Q3545916,AM42615
Q3591815,AM42727
Q3718891,AM42728
Q3720127,AM42729
Q3733063,AM27963
Q3734051,AM42730
Q3738649,AM42568
Q3921629,AM42654
Q3940476,AM26390
Q3979194,AM42734
Q3982810,AM42894
Q4119200,AM42898
Q4205363,AM43046
Q4214934,AM42900
Q4272591,AM42901
Q4347456,AM24051
Q4353903,AM42903
Q4354077,AM11670
Q4354291,AM42904
Q4389427,AM42905
Q4391842,AM42906
Q4405634,AM42907
Q4445036,AM42735
Q4462590,AM42736
Q4532311,AM42737
Q4652028,AM42738
Q4691908,AM42741
Q4725297,AM43011
Q4771070,AM43063
Q4789050,AM42744
Q4850939,AM42746
Q4851214,AM42749
Q4974228,AM11445
Q4976486,AM42910
Q5004697,AM42555
Q5004698,AM42556
Q5051092,AM42911
Q5089933,AM42913
Q5128246,AM27841
Q5148287,AM42915
Q5184702,AM42916
Q5249513,AM27892
Q5291089,AM42917
Q5326669,AM25011
Q5326819,AM42918
Q5384797,AM42920
Q5402282,AM42921
Q5440578,AM42922
Q5464871,AM23949
Q5492123,AM42776
Q5502314,AM42558
Q5528620,AM42923
Q5551920,AM25649
Q5579119,AM42927
Q5598997,AM42928
Q5599571,AM42929
Q5685145,AM42930
Q5715479,AM42747
Q5775348,AM42931
Q5775982,AM42932
Q5776014,AM42933
Q5848654,AM24422
Q5867095,AM42935
Q5870873,AM42936
Q5884356,AM23813
Q5887665,AM42909
Q5900456,AM43064
Q5902089,AM42777
Q5902092,AM42778
Q5902095,AM42779
Q5919006,AM42780
Q5964167,AM42937
Q5990386,AM42938
Q6017754,AM42939
Q6022230,AM42781
Q6050785,AM42941
Q6052526,AM43318
Q6067278,AM42942
Q6073099,AM27841
Q6093129,AM353937
Q6102778,AM42945
Q6106068,AM42621
Q6111354,AM25403
Q6132010,AM42946
Q6461465,AM42950
Q6495224,AM25043
Q6497916,AM42951
Q6563843,AM42953
Q6647910,AM24667
Q6773534,AM42958
Q6844346,AM42959
Q6889004,AM43106
Q6904346,AM42960
Q7131604,AM42969
Q7201622,AM42575
Q7239564,AM42971
Q7256213,AM42972
Q7258448,AM23579
Q7300744,AM42973
Q7351999,AM42975
Q7361934,AM43099
Q7398819,AM42976
Q7403398,AM25907
Q7463501,AM23060
Q7626770,AM28807
Q7635437,AM42979
Q7643251,AM42980
Q7835421,AM353951
Q7851298,AM25964
Q7853205,AM42783
Q7884900,AM23922
Q7888455,AM42594
Q7970144,AM42984
Q9067497,AM42574
Q9721810,AM24748
Q9726365,AM24751
Q10344299,AM43059
Q10344301,AM42785
Q10344302,AM43103
Q10356223,AM42786
Q10380459,AM42602
Q10710179,AM26227
Q10756408,AM42804
Q10889955,AM42807
Q10904438,AM42641
Q10914393,AM23294
Q11077566,AM42810
Q11088318,AM42566
Q11171589,AM42823
Q11319920,AM42827
Q11358452,AM27740
Q11512277,AM42761
Q11512279,AM42762
Q11512280,AM42763
Q11512282,AM42764
Q11512305,AM42765
Q11587274,AM353952
Q11596055,AM25009
Q11607084,AM26689
Q11649798,AM353938
Q11689957,AM42647
Q11797081,AM24075
Q11869173,AM353945
Q11942937,AM495
Q12019595,AM42656
Q12056948,AM22934
Q12057021,AM11413
Q12060881,AM42572
Q12407079,AM25883
Q12410918,AM42665
Q12411956,AM28594
Q12512885,AM42667
Q12512901,AM42668
Q12642600,AM23232
Q12829866,AM353946
Q12903986,AM42857
Q13127618,AM25964
Q13400700,AM26225
Q13403037,AM42605
Q13426199,AM25067
Q13474305,AM42606
Q13577667,AM27033
Q13581596,AM42584
Q15155713,AM42540
Q15238138,AM28588
Q15241296,AM42624
Q15782728,AM23229
Q15843470,AM43089
Q16141502,AM42672
Q16147990,AM43092
Q16242342,AM23470
Q16427214,AM42673
Q16473331,AM42674
Q16481442,AM42675
Q16501698,AM42552
Q16501700,AM28189
Q16515371,AM42471
Q16530848,AM27115
Q16582109,AM42628
Q16599185,AM42629
Q16672352,AM42604
Q16835335,AM27964
Q16933857,AM43062
Q16956210,AM42866
Q16961997,AM42867
Q17017613,AM42868
Q17018514,AM42577
Q17023867,AM42578
Q17023868,AM42579
Q17025491,AM25043
Q17054964,AM42586
Q17069369,AM42559
Q17074103,AM43077
Q17134047,AM43080
Q17150160,AM42588
Q17163519,AM42869
Q17175310,AM28280
Q17229832,AM42870
Q17302295,AM42551
Q17500081,AM42872
Q17628394,AM42564
Q17633271,AM42598
Q17990555,AM24410
Q18220961,AM42599
Q18354756,AM42676
Q18749644,AM42681
Q18815536,AM42682
Q19359745,AM42683
Q19903299,AM25918
Q19960681,AM26300
Q20686866,AM43103
Q20716233,AM24793
Q20716241,AM24798
Q20892092,AM42770
Q20972086,AM28130
Q22137200,AM43116
Q22249114,AM42643
Q22809362,AM23899
Q22948607,AM23229
Q23019825,AM42687
Q23019957,AM42688
Q23020011,AM42689
Q23020015,AM42690
Q23020043,AM42691
Q23020227,AM42692
Q23020295,AM42693
Q23020471,AM42694
Q23020524,AM42695
Q23020646,AM42696
Q23020738,AM42697
Q23579307,AM42881
Q24068069,AM11504
Q24089696,AM42642
Q24175642,AM25914
Q24841657,AM42565
Q24900613,AM42592
Q25047678,AM42699
Q25047681,AM42700
Q25080086,AM42701
Q25487979,AM42702
Q26048811,AM43060
Q26234937,AM42630
Q27951676,AM43078
Q28035401,AM42706
Q28173769,AM23039
Q28220376,AM42708
Q28224721,AM25670
Q29297050,AM25986
Q29297151,AM25985
Q29297301,AM25980
Q29921652,AM42713
Q30607628,AM24591
Q30686878,AM42887
Q30942383,AM11444
Q39501433,AM42733
Q40084009,AM42895
Q40098903,AM42896
Q40101351,AM42897
Q48698720,AM28948
Q48745992,AM42750
Q50374693,AM22981
Q53997988,AM478
Q55622876,AM24591
Q55780155,AM42926
Q57449805,AM25709
Q58178441,AM42587
Q58331691,AM42622
Q60259056,AM42545
Q60435129,AM42940
Q60833580,AM42943
Q61704160,AM42947
Q62016685,AM42948
Q62609017,AM27577
Q65122495,AM42952
Q65952801,AM42954
Q66179705,AM23259
Q66662399,AM42956
Q67587307,AM42957
Q75483187,AM42977
Q76308430,AM192789
Q76763362,AM42981
Q81079873,AM27705
Q81274644,AM42986
Q85749727,AM42766
Q85754596,AM42991
Q86005745,AM42992
Q87600828,AM25373
Q87601511,AM25374
Q87601756,AM25348
Q87602096,AM25292
Q87602463,AM25377
Q87602467,AM25378
Q87603363,AM25379
Q88002239,AM22981
Q92136810,AM42998
Q92560624,AM42999
Q92851113,AM43000
Q93693205,AM43001
Q94394406,AM43003
Q96954129,AM43004
Q97317283,AM24440
Q97317435,AM24440
Q97317547,AM24398
Q97317573,AM24397
Q97495377,AM43005
Q98270788,AM42466
Q98270798,AM23857
Q98270839,AM24440
Q98270886,AM43065
Q98270938,AM42542
Q98270989,AM43094
Q98271051,AM43008
Q98271225,AM23847
Q98277990,AM27062
Q98776204,AM24544
Q98872447,AM25049
Q98930164,AM43066
Q99299757,AM25708
Q99299840,AM26726
Q99299898,AM27038
Q99299906,AM27039
Q99456269,AM11441
Q99481212,AM26867
Q99481240,AM26866
Q99481245,AM23089
Q99743261,AM353939
Q102596055,AM42784
Q104245387,AM459
Q104637301,AM25227
Q104784024,AM43076
Q104850170,AM42788
Q104865858,AM43012
Q104875950,AM42789
Q104879848,AM42790
Q104880360,AM42791
Q105747873,AM42581
Q106092963,AM42792
Q106312111,AM42793
Q107015186,AM42794
Q107015194,AM42795
Q107015204,AM42796
Q107015308,AM42797
Q107015312,AM42798
Q107015315,AM42799
Q107015667,AM42800
Q107015670,AM42801
Q107015673,AM42802
Q107124759,AM42803
Q107422155,AM24443
Q108064585,AM25365
Q108394191,AM42805
Q108679079,AM42550
Q108693131,AM43130
Q108757228,AM42806
Q108807658,AM42759
Q109384761,AM27042
Q109386511,AM27040
Q109561760,AM42760
Q109690583,AM42639
Q109827877,AM11698
Q110050955,AM42640
Q110209550,AM27032
Q110209565,AM27139
Q110830591,AM353947
Q110849559,AM42812
Q110896003,AM42813
Q110987284,AM42815
Q111142852,AM42816
Q111146040,AM43106
Q111220073,AM42817
Q111240702,AM353943
Q111240714,AM353948
Q111350242,AM28948
Q111535892,AM353944
Q111585844,AM42818
Q111601268,AM42819
Q111668539,AM42820
Q111699479,AM42821
Q111699632,AM42822
Q111740735,AM43100
Q111787406,AM353940
Q111787410,AM353941
Q112055709,AM42619
Q112062660,AM42824
Q112628480,AM24451
Q112801421,AM42826
Q113192807,AM353942
Q113483592,AM42828
Q113494684,AM42829
Q113503179,AM42830
Q113503202,AM42831
Q113530618,AM42832
Q113851097,AM28819
Q113995895,AM25006
Q114434870,AM43363
Q114866998,AM26845
Q114867307,AM23269
Q114867342,AM42620
Q114867465,AM27141
Q114867907,AM27863
Q114868851,AM27103
Q114868885,AM27068
Q114868919,AM23232
Q114869008,AM23228
Q114869081,AM23294
Q114869307,AM27123
Q114877775,AM23295
Q114877788,AM23284
Q114877803,AM27845
Q114877809,AM27844
Q114877817,AM27843
Q114877825,AM27842
Q115284998,AM42745
Q115664693,AM24640
Q115667399,AM23269
Q116604295,AM42646
Q116796374,AM27848
Q116884578,AM26391
Q117089833,AM42648
Q117326694,AM27062
Q117336820,AM42649
Q117743452,AM42650
Q118875925,AM42651
Q118897772,AM42652
Q119137625,AM42653
Q120302114,AM43058
Q120754706,AM43090
Q122204616,AM26298
Q123399156,AM26725
Q123399371,AM26727
Q123399402,AM26728
Q123399444,AM26724
Q123413965,AM42659
Q123437228,AM43104
Q123437424,AM43104
Q123437479,AM43068
Q123438122,AM43069
Q123483102,AM42660
Q123483117,AM42661
Q123483120,AM42662
Q123483124,AM42663
Q123483126,AM42664
Q123741719,AM43015
Q123909218,AM43071
Q123910977,AM43105
Q123911600,AM43073
Q123915981,AM43105
Q123917199,AM43074
Q123918334,AM43075
Q124030889,AM26751
Q124355469,AM43067
Q124413129,AM43070
Q124788927,AM42666
Q124867091,AM43104
Q125350955,AM43072
Q125475226,AM42669
Q125490801,AM42670
Q125510349,AM43025
Q126192731,AM42768
Q126365312,AM42836
Q126365320,AM42837
Q126949076,AM42840
Q126949104,AM42841
Q126949145,AM42842
Q126949174,AM42843
Q126949230,AM42547
Q126949309,AM42894
Q126949384,AM25670
Q126949584,AM42845
Q126951002,AM42846
Q126951135,AM42847
Q126951168,AM42848
Q126951228,AM42849
Q127232909,AM42850
Q127236578,AM42531
Q127240677,AM42851
Q127246801,AM42852
Q127345422,AM42853
Q127421508,AM42854
Q127474977,AM42855
Q127475767,AM42856
Q130384322,AM42858
Q130393477,AM42859
Q130394187,AM42860
Q130480279,AM24051
Q130480495,AM27841
Q130489375,AM42861
Q130598326,AM42862
Q130604420,AM42863
Q130619333,AM42864
Q138711777,AM351298
Q138711791,AM351949
Q138711795,AM352060
Q138711799,AM352171
Q138711810,AM352282
Q138711811,AM352393
Q138711815,AM352504
Q138711821,AM351299
Q138711826,AM351410
Q138711875,AM351521
Q138711876,AM351632
Q138711877,AM351743
Q138711878,AM351783
Q138711879,AM351794
Q138711880,AM354406
Q138711881,AM351805
Q138711882,AM354407
Q138711883,AM351816
Q138711884,AM42354
Q138711885,AM351839
Q138711887,AM351850
Q138711888,AM354572
Q138711889,AM351872
Q138711890,AM351883
Q138711891,AM351894
Q138711892,AM351905
Q138711893,AM351916
Q138711894,AM351927
Q138711895,AM351938
Q138711896,AM351950
Q138711897,AM351972
Q138711898,AM351994
Q138711899,AM352005
Q138711900,AM352016
Q138711901,AM352027
Q138711902,AM352038
Q138711903,AM352049
Q138711904,AM352061
Q138711905,AM352072
Q138711906,AM352083
Q138711907,AM352094
Q138711908,AM352105
Q138711909,AM352116
Q138711910,AM352127
Q138711911,AM352138
Q138711912,AM352160
Q138711913,AM352172
Q138711914,AM352183
Q138711915,AM352205
Q138711916,AM352216
Q138711917,AM352227
Q138711918,AM352238
Q138711919,AM352249
Q138711920,AM352260
Q138711921,AM352271
Q138711923,AM352283
Q138711924,AM352294
Q138711925,AM352305
Q138711926,AM352316
Q138711927,AM352327
Q138711928,AM352338
Q138711929,AM352349
Q138711930,AM352360
Q138711931,AM352371
Q138711932,AM354408
Q138711933,AM352382
Q138711934,AM352394
Q138711935,AM354409
Q138711936,AM352405
Q138711937,AM354410
Q138711938,AM352416
Q138711939,AM352427
Q138711940,AM352438
Q138711941,AM352449
Q138711942,AM352460
Q138711943,AM352471
Q138711944,AM352482
Q138711945,AM352493
Q138711946,AM352505
Q138711947,AM352516
Q138711948,AM354411
Q138711949,AM352527
Q138711950,AM352538
Q138711951,AM352549
Q138711952,AM352560
Q138711953,AM352571
Q138711954,AM352582
Q138711955,AM352593
Q138711956,AM352604
Q138711957,AM352616
Q138711958,AM352627
Q138711959,AM352638
Q138711960,AM352649
Q138711961,AM352660
Q138711962,AM352671
Q138711963,AM352682
Q138711964,AM352693
Q138711965,AM352704
Q138711966,AM23987
Q138711967,AM351300
Q138711968,AM351311
Q138711969,AM351322
Q138711970,AM351333
Q138711971,AM351344
Q138711973,AM351355
Q138711974,AM351366
Q138711975,AM351377
Q138711978,AM351388
Q138711979,AM351399
Q138711980,AM351633
Q138711981,AM351655
Q138711982,AM351677
Q138711983,AM351688
Q138711984,AM351710
Q138711985,AM351721
Q138711986,AM351732
Q138711987,AM351744
Q138711988,AM351755
Q138711989,AM351766
Q138711990,AM351776
Q138711991,AM351777
Q138711992,AM354413
Q138711993,AM351778
Q138711994,AM351779
Q138711995,AM351780
Q138711996,AM351781
Q138711997,AM351782
Q138711998,AM351784
Q138711999,AM351785
Q138712000,AM351786
Q138712001,AM351787
Q138712002,AM351788
Q138712003,AM23989
Q138712004,AM351789
Q138712005,AM351790
Q138712006,AM351791
Q138712007,AM351792
Q138712008,AM339129
Q138712009,AM351793
Q138712010,AM351795
Q138712011,AM351796
Q138712012,AM351797
Q138712013,AM351798
Q138712014,AM351800
Q138712015,AM351801
Q138712016,AM354486
Q138712017,AM351802
Q138712018,AM23990
Q138712019,AM351803
Q138712020,AM351804
Q138712021,AM354414
Q138712022,AM351806
Q138712023,AM351807
Q138712025,AM351808
Q138712026,AM351809
Q138712027,AM351810
Q138712028,AM351811
Q138712029,AM351812
Q138712030,AM351813
Q138712031,AM42357
Q138712032,AM351815
Q138712033,AM42359
Q138712034,AM353769
Q138712035,AM42360
Q138712036,AM339126
Q138712037,AM351817
Q138712038,AM351818
Q138712039,AM351819
Q138712040,AM351820
Q138712041,AM351821
Q138712042,AM351822
Q138712043,AM351823
Q138712045,AM351824
Q138712046,AM351825
Q138712047,AM351826
Q138712048,AM23991
Q138712049,AM351828
Q138712050,AM351829
Q138712051,AM351830
Q138712052,AM351831
Q138712053,AM351832
Q138712055,AM351833
Q138712056,AM24114
Q138712057,AM351834
Q138712058,AM351835
Q138712059,AM351836
Q138712060,AM351837
Q138712061,AM351840
Q138712062,AM351841
Q138712063,AM351842
Q138712064,AM351843
Q138712065,AM351844
Q138712066,AM351845
Q138712067,AM351846
Q138712068,AM351847
Q138712069,AM351848
Q138712070,AM351849
Q138712071,AM351852
Q138712072,AM351854
Q138712073,AM351878
Q138712074,AM351880
Q138712075,AM351882
Q138712076,AM351884
Q138712077,AM351885
Q138712078,AM351886
Q138712079,AM351888
Q138712080,AM351890
Q138712081,AM351891
Q138712082,AM351892
Q138712083,AM351893
Q138712084,AM23994
Q138712085,AM351896
Q138712086,AM351897
Q138712088,AM351898
Q138712089,AM351899
Q138712090,AM353755
Q138712091,AM351900
Q138712092,AM351901
Q138712093,AM351902
Q138712094,AM351903
Q138712095,AM351904
Q138712096,AM351906
Q138712097,AM351907
Q138712098,AM351908
Q138712099,AM351909
Q138712136,AM351411
Q138712137,AM351422
Q138712138,AM351433
Q138712139,AM351444
Q138712140,AM351455
Q138712141,AM351466
Q138712142,AM351477
Q138712143,AM354412
Q138712144,AM351488
Q138712145,AM351499
Q138712146,AM351510
Q138712147,AM351522
Q138712148,AM351533
Q138712149,AM351544
Q138712150,AM351555
Q138712151,AM351566
Q138712152,AM351588
Q138712153,AM351599
Q138712154,AM351610
Q138712155,AM351621
Q138712156,AM351644
Q138712157,AM351666
Q138712158,AM351699
Q138712159,AM351853
Q138712160,AM351855
Q138712161,AM351857
Q138712162,AM351858
Q138712163,AM351859
Q138712164,AM351860
Q138712165,AM351862
Q138712166,AM351863
Q138712167,AM351864
Q138712168,AM351865
Q138712169,AM351866
Q138712170,AM351867
Q138712171,AM351870
Q138712172,AM351871
Q138712173,AM351873
Q138712174,AM351874
Q138712175,AM351876
Q138712176,AM351877
Q138712177,AM351879
Q138712178,AM351881
Q138712179,AM351887
Q138712187,AM351910
Q138712188,AM351911
Q138712189,AM351912
Q138712190,AM351913
Q138712191,AM351914
Q138712192,AM351917
Q138712193,AM351918
Q138712194,AM351919
Q138712195,AM351920
Q138712196,AM351921
Q138712197,AM351922
Q138712198,AM351923
Q138712199,AM351924
Q138712200,AM351925
Q138712201,AM24105
Q138712202,AM24103
Q138712203,AM24106
Q138712204,AM351926
Q138712205,AM351928
Q138712206,AM23995
Q138712207,AM354538
Q138712208,AM351930
Q138712209,AM351931
Q138712210,AM351932
Q138712211,AM351933
Q138712212,AM351934
Q138712213,AM351935
Q138712214,AM351936
Q138712215,AM351937
Q138712216,AM351940
Q138712217,AM351941
Q138712218,AM351942
Q138712219,AM351943
Q138712220,AM23997
Q138712221,AM351944
Q138712222,AM351945
Q138712223,AM351946
Q138712224,AM351947
Q138712225,AM351948
Q138712226,AM351951
Q138712227,AM351952
Q138712228,AM24060
Q138712229,AM351953
Q138712230,AM351954
Q138712231,AM351955
Q138712232,AM351956
Q138712233,AM351957
Q138712234,AM351958
Q138712235,AM351959
Q138712236,AM354415
Q138712237,AM24113
Q138712238,AM24109
Q138712239,AM351960
Q138712240,AM351962
Q138712241,AM351963
Q138712242,AM351964
Q138712243,AM351965
Q138712244,AM351966
Q138712245,AM351967
Q138712246,AM351968
Q138712247,AM351969
Q138712248,AM354589
Q138712249,AM351970
Q138712250,AM351971
Q138712251,AM351973
Q138712252,AM351974
Q138712253,AM351976
Q138712254,AM351977
Q138712255,AM351978
Q138712256,AM351979
Q138712257,AM351980
Q138712258,AM351981
Q138712259,AM354416
Q138712261,AM351982
Q138712262,AM351984
Q138712263,AM351985
Q138712264,AM351986
Q138712265,AM351987
Q138712266,AM351988
Q138712267,AM351989
Q138712269,AM351990
Q138712270,AM24000
Q138712271,AM351991
Q138712272,AM351992
Q138712273,AM351993
Q138712275,AM351995
Q138712276,AM351996
Q138712277,AM42363
Q138712278,AM351997
Q138712279,AM351998
Q138712280,AM351999
Q138712281,AM352000
Q138712282,AM352001
Q138712283,AM352002
Q138712284,AM352003
Q138712285,AM352004
Q138712286,AM352006
Q138712287,AM352007
Q138712288,AM352008
Q138712289,AM352009
Q138712290,AM352010
Q138712291,AM352011
Q138712292,AM352012
Q138712293,AM352013
Q138712294,AM352014
Q138712295,AM353775
Q138712296,AM352015
Q138712297,AM352017
Q138712298,AM352018
Q138712300,AM352019
Q138712301,AM352020
Q138712302,AM352021
Q138712303,AM352022
Q138712304,AM352023
Q138712305,AM352024
Q138712306,AM352025
Q138712307,AM352026
Q138712308,AM352028
Q138712309,AM352029
Q138712310,AM352030
Q138712311,AM352032
Q138712312,AM352033
Q138712313,AM352034
Q138712314,AM352035
Q138712315,AM352036
Q138712316,AM352037
Q138712317,AM352039
Q138712318,AM352040
Q138712319,AM352041
Q138712320,AM352042
Q138712321,AM352043
Q138712322,AM352044
Q138712323,AM352045
Q138712324,AM352046
Q138712325,AM352047
Q138712326,AM352048
Q138712327,AM352051
Q138712328,AM339137
Q138712329,AM339138
Q138712330,AM352052
Q138712331,AM352053
Q138712332,AM352054
Q138712333,AM352055
Q138712334,AM352056
Q138712335,AM352057
Q138712336,AM352058
Q138712337,AM352059
Q138712338,AM352062
Q138712339,AM352063
Q138712340,AM354598
Q138712341,AM352064
Q138712342,AM24002
Q138712343,AM352065
Q138712344,AM24003
Q138712345,AM352066
Q138712346,AM352067
Q138712347,AM354417
Q138712348,AM352068
