qid,cmid
Q149799,SM495626
Q150412,SM492795
Q151804,SM258097
Q152997,SM480707
Q153557,SM250892
Q154845,SM480511
Q155085,SM480959
Q156108,SM480776
Q156274,SM254940
Q156740,SM480180
Q156791,SM251837
Q157139,SM493833
Q157676,SM492308
Q158281,SM8075
Q159073,SM493601
Q159090,SM496886
Q159318,SM255905
Q159850,SM495801
Q160894,SM257727
Q161561,SM495382
Q161614,SM257603
Q161652,SM254143
Q162858,SM480900
Q162874,SM495725
Q162974,SM480833
Q163022,SM306091
Q163340,SM493657
Q163353,SM495489
Q163358,SM495625
Q163939,SM493519
Q163943,SM253247
Q164076,SM492313
Q164650,SM495627
Q164714,SM253042
Q164811,SM487245
Q165148,SM495486
Q165192,SM257830
Q165235,SM252441
Q165320,SM252930
Q166176,SM256226
Q167122,SM250173
Q167395,SM494594
Q167420,SM252968
Q167577,SM480591
Q167624,SM7696
Q168499,SM486556
Q168549,SM487569
Q170056,SM481089
Q170088,SM250298
Q170208,SM480847
Q170217,SM252989
Q170284,SM253382
Q170352,SM493846
Q170826,SM254053
Q171296,SM250427
Q171336,SM257666
Q171759,SM495506
Q171795,SM251370
Q171927,SM480842
Q172365,SM257321
Q172717,SM251789
Q173282,SM480551
Q173302,SM253344
Q173371,SM480028
Q173491,SM250974
Q175655,SM492316
Q175823,SM254362
Q176096,SM493847
Q176203,SM257524
Q176825,SM487226
Q178023,SM492967
Q178054,SM497358
Q178419,SM494142
Q178484,SM255586
Q178630,SM256929
Q178631,SM256245
Q179248,SM251543
Q179674,SM493077
Q180361,SM253428
Q180540,SM254603
Q180688,SM8849
Q181037,SM480405
Q181634,SM257439
Q181752,SM480816
Q182651,SM306056
Q183573,SM253950
Q184922,SM258257
Q184951,SM6975
Q185261,SM252770
Q185370,SM255087
Q185549,SM250349
Q185970,SM258353
Q186192,SM496970
Q187897,SM481006
Q187985,SM258074
Q188201,SM250839
Q188353,SM258576
Q188779,SM256375
Q188836,SM481076
Q189975,SM8120
Q190168,SM250827
Q190209,SM254335
Q190394,SM480441
Q190992,SM480444
Q191322,SM461544
Q191356,SM253974
Q191669,SM496916
Q191710,SM251546
Q191730,SM253351
Q191923,SM8177
Q191962,SM480114
Q192604,SM251960
Q192616,SM256346
Q192647,SM251033
Q192730,SM480315
Q192858,SM481004
Q193067,SM258231
Q193092,SM251076
Q193776,SM485692
Q193850,SM480909
Q193875,SM257639
Q198909,SM487935
Q199282,SM480488
Q200263,SM256767
Q200453,SM250080
Q200513,SM257525
Q200569,SM253277
Q200885,SM258715
Q201024,SM480664
Q201028,SM254707
Q201111,SM258452
Q201190,SM256650
Q201369,SM480413
Q201501,SM251964
Q201706,SM480402
Q201711,SM494893
Q202335,SM487538
Q202353,SM250028
Q202511,SM8068
Q202547,SM258651
Q202575,SM258818
Q202778,SM250835
Q202812,SM250643
Q202860,SM258135
Q203178,SM250365
Q203319,SM254847
Q203507,SM492063
Q203711,SM480349
Q203747,SM251921
Q204333,SM254070
Q205006,SM251584
Q205377,SM253546
Q205534,SM493405
Q206020,SM493655
Q206642,SM252545
Q207023,SM487827
Q207050,SM252546
Q207750,SM256306
Q207761,SM480184
Q207962,SM256234
Q207996,SM250815
Q208176,SM480675
Q208188,SM255839
Q208551,SM255212
Q209003,SM461524
Q209148,SM256884
Q209327,SM250138
Q209496,SM251542
Q209851,SM480623
Q209959,SM255768
Q210258,SM496639
Q210332,SM253776
Q210334,SM252627
Q210570,SM480724
Q210623,SM257864
Q211018,SM255041
Q211052,SM492748
Q211720,SM250014
Q212106,SM250191
Q212414,SM480332
Q212853,SM480337
Q213040,SM8035
Q213396,SM253963
Q213422,SM257463
Q213470,SM254467
Q214361,SM255605
Q215583,SM250209
Q216096,SM253230
Q216151,SM258437
Q216839,SM6034
Q217397,SM250812
Q217464,SM253073
Q217815,SM256197
Q218243,SM250908
Q218332,SM454410
Q218808,SM250463
Q219205,SM253909
Q219252,SM7366
Q219517,SM257437
Q219995,SM250269
Q220379,SM487528
Q220594,SM485693
Q220643,SM487223
Q221355,SM492920
Q221585,SM494261
Q222175,SM480321
Q223179,SM480382
Q223581,SM493049
Q223659,SM480887
Q225469,SM256997
Q228986,SM253816
Q230386,SM257530
Q231317,SM258810
Q236807,SM258760
Q237534,SM251785
Q238384,SM253547
Q239577,SM250308
Q240123,SM496285
Q240293,SM254631
Q240342,SM495724
Q241194,SM492053
Q241285,SM480925
Q241696,SM251007
Q241843,SM250757
Q242360,SM254980
Q242485,SM253385
Q243270,SM254220
Q243274,SM254446
Q243312,SM492419
Q243551,SM6658
Q244028,SM254240
Q244157,SM250597
Q244504,SM252616
Q244735,SM251561
Q245794,SM8102
Q245807,SM486583
Q247007,SM494924
Q247291,SM255623
Q249893,SM257010
Q250584,SM487235
Q252099,SM495480
Q252692,SM480529
Q252885,SM252019
Q253410,SM252908
Q253436,SM257511
Q253482,SM487541
Q254222,SM257946
Q254365,SM496904
Q254387,SM255478
Q254511,SM496876
Q254784,SM492933
Q255872,SM8135
Q256886,SM492422
Q256937,SM495978
Q257174,SM459078
Q257528,SM494453
Q257530,SM487849
Q258344,SM480442
Q258571,SM253331
Q259469,SM486451
Q260152,SM253682
Q260692,SM493160
Q261429,SM481081
Q262423,SM493074
Q262457,SM255769
Q263176,SM250854
Q264401,SM492150
Q264569,SM492841
Q264993,SM250656
Q265188,SM494141
Q265730,SM257945
Q265962,SM250808
Q266223,SM493780
Q266371,SM492429
Q266527,SM253960
Q267410,SM256096
Q267512,SM480281
Q267658,SM257825
Q268307,SM492919
Q268385,SM256829
Q268467,SM493587
Q269785,SM306067
Q271790,SM254578
Q272687,SM252875
Q273603,SM480341
Q273824,SM480933
Q273854,SM492033
Q274356,SM253051
Q274386,SM257571
Q275453,SM251895
Q276315,SM254453
Q276879,SM454401
Q277271,SM253963
Q277647,SM250906
Q277799,SM6029
Q277955,SM492435
Q278741,SM251495
Q278944,SM253176
Q278950,SM480993
Q279595,SM493648
Q280379,SM256886
Q280522,SM6860
Q280877,SM254217
Q281117,SM254931
Q281654,SM8164
Q281692,SM492436
Q282011,SM257716
Q282427,SM450372
Q282550,SM496913
Q282651,SM480705
Q283271,SM495402
Q283465,SM250675
Q283510,SM252767
Q283571,SM492438
Q283803,SM496899
Q285365,SM493099
Q287219,SM251535
Q287800,SM495672
Q288809,SM250871
Q289226,SM481137
Q289889,SM492067
Q290170,SM495394
Q290201,SM487207
Q290286,SM481091
Q290555,SM495467
Q294867,SM251673
Q301461,SM494184
Q301485,SM250003
Q301533,SM250236
Q302052,SM492636
Q303985,SM480669
Q304307,SM250708
Q305667,SM492444
Q305721,SM493727
Q307014,SM258602
Q307559,SM492708
Q308885,SM487221
Q309197,SM252499
Q309381,SM255238
Q310983,SM251176
Q311513,SM480122
Q311883,SM255592
Q312259,SM496552
Q312574,SM8138
Q312947,SM487786
Q314830,SM495485
Q315832,SM492446
Q315877,SM496912
Q316860,SM496604
Q318517,SM251365
Q318674,SM256488
Q318806,SM251366
Q319066,SM251467
Q319223,SM495763
Q319245,SM495537
Q320693,SM255163
Q321535,SM480111
Q322083,SM250067
Q322168,SM492738
Q322568,SM495764
Q322951,SM252785
Q322971,SM495970
Q323500,SM493071
Q324216,SM486460
Q324516,SM252853
Q329216,SM492447
Q329759,SM480680
Q331453,SM493066
Q331789,SM252969
Q332976,SM255804
Q333049,SM258012
Q333484,SM8479
Q333624,SM257643
Q333767,SM256071
Q333910,SM492975
Q334945,SM250736
Q336136,SM480195
Q336258,SM257277
Q336851,SM250004
Q337104,SM492744
Q337487,SM257077
Q337550,SM257581
Q338230,SM251377
Q338793,SM492833
Q339282,SM493556
Q339567,SM461523
Q339591,SM461522
Q340098,SM495646
Q340520,SM251379
Q340540,SM493178
Q340581,SM250008
Q341185,SM251387
Q341265,SM251384
Q341268,SM251385
Q342034,SM495975
Q348236,SM250014
Q349901,SM494385
Q351880,SM495333
Q352275,SM495976
Q353971,SM250362
Q354360,SM250011
Q355690,SM495723
Q355841,SM480116
Q356382,SM250284
Q356530,SM255918
Q356540,SM495400
Q357670,SM251420
Q357684,SM250838
Q358250,SM8582
Q358860,SM250138
Q359882,SM458666
Q362295,SM454369
Q365283,SM454485
Q365539,SM7660
Q367765,SM252509
Q367940,SM495062
Q368125,SM251622
Q368316,SM256484
Q368863,SM7702
Q368879,SM253219
Q369816,SM258043
Q369870,SM253205
Q369883,SM258395
Q369966,SM250094
Q370347,SM493014
Q370543,SM256165
Q370868,SM258691
Q370957,SM492768
Q371290,SM493163
Q371762,SM481085
Q372602,SM492471
Q374277,SM458871
Q375221,SM492630
Q375785,SM496916
Q376684,SM486585
Q376772,SM495914
Q377085,SM251745
Q377119,SM250632
Q378382,SM492474
Q379314,SM8047
Q379636,SM8336
Q379821,SM492071
Q380219,SM493586
Q381053,SM487548
Q381151,SM258510
Q381898,SM251818
Q382879,SM7726
Q383029,SM256785
Q383203,SM496949
Q383256,SM252678
Q383325,SM492810
Q383423,SM493090
Q383738,SM496541
Q383946,SM255189
Q384643,SM480119
Q384927,SM494708
Q385799,SM250839
Q386795,SM493097
Q387073,SM258243
Q387860,SM493128
Q388101,SM487071
Q388264,SM7674
Q388315,SM252381
Q388449,SM462097
Q388467,SM252972
Q388727,SM496009
Q389236,SM487529
Q389504,SM495243
Q392316,SM494076
Q393529,SM251455
Q393779,SM494461
Q394067,SM259933
Q397903,SM251465
Q397948,SM251466
Q398096,SM251798
Q399842,SM454484
Q401964,SM250230
Q402392,SM251479
Q402515,SM250727
Q402525,SM454490
Q402913,SM252202
Q403034,SM250309
Q403092,SM250222
Q403656,SM250245
Q405435,SM251484
Q405487,SM480600
Q406336,SM480118
Q410266,SM481057
Q415054,SM495972
Q415693,SM250988
Q417101,SM251082
Q417628,SM254779
Q417996,SM250044
Q418389,SM250017
Q418708,SM250977
Q420612,SM487334
Q420651,SM251513
Q423669,SM250866
Q423803,SM252593
Q424129,SM256727
Q424356,SM255036
Q424366,SM454483
Q426724,SM496170
Q427036,SM250756
Q427838,SM253276
Q428575,SM258695
Q428713,SM492957
Q429709,SM257259
Q429732,SM492491
Q429921,SM257931
Q430172,SM492868
Q431164,SM306072
Q432324,SM256783
Q438374,SM250369
Q440410,SM496402
Q442389,SM480491
Q444397,SM480635
Q444641,SM494825
Q444749,SM492494
Q444838,SM257881
Q445190,SM495566
Q445485,SM253539
Q446406,SM486884
Q448649,SM250918
Q450252,SM254000
Q454941,SM8343
Q456087,SM493339
Q457341,SM250042
Q458444,SM493836
Q459098,SM496845
Q459387,SM7365
Q460091,SM250366
Q460910,SM468079
Q461282,SM258741
Q464237,SM250033
Q464529,SM257178
Q465331,SM480462
Q465864,SM480146
Q466237,SM480826
Q466624,SM493835
Q467790,SM255573
Q467985,SM487280
Q469518,SM494628
Q469802,SM492497
Q470003,SM256913
Q471671,SM480969
Q472597,SM250491
Q472834,SM258020
Q473959,SM492966
Q474202,SM257456
Q475951,SM480540
Q476030,SM254657
Q476393,SM256003
Q476397,SM454398
Q476550,SM253817
Q476579,SM493840
Q477338,SM492498
Q478236,SM494929
Q478289,SM480438
Q478805,SM480840
Q479977,SM253960
Q480290,SM251369
Q481161,SM496877
Q482942,SM251823
Q483047,SM258337
Q483505,SM257869
Q483569,SM252195
Q483889,SM487155
Q483978,SM256841
Q484206,SM253365
Q484464,SM254923
Q484472,SM258220
Q484479,SM255142
Q485010,SM254029
Q485150,SM257183
Q485273,SM253988
Q485348,SM252103
Q485732,SM480851
Q486244,SM480936
Q486316,SM8785
Q486643,SM258082
Q486969,SM480577
Q487749,SM255243
Q487759,SM493357
Q487795,SM253665
Q487796,SM255871
Q487902,SM250387
Q487908,SM493689
Q488406,SM257237
Q488581,SM496915
Q488790,SM459436
Q489519,SM487220
Q489924,SM254511
Q489936,SM251610
Q490977,SM496515
Q491290,SM7561
Q491693,SM257507
Q491706,SM251764
Q491709,SM257729
Q491721,SM253280
Q491747,SM258283
Q491755,SM252931
Q492150,SM457102
Q492571,SM492502
Q492686,SM494630
Q492901,SM254327
Q494462,SM480782
Q494647,SM492503
Q494691,SM252628
Q494699,SM254781
Q495519,SM496915
Q495751,SM255772
Q495753,SM256171
Q495760,SM252803
Q495767,SM257854
Q495910,SM250189
Q497568,SM255892
Q498640,SM480031
Q498844,SM254774
Q499687,SM251532
Q499830,SM492954
Q500272,SM492759
Q500393,SM487244
Q500502,SM480898
Q500822,SM256129
Q501099,SM8082
Q501445,SM256677
Q501732,SM486476
Q501837,SM493205
Q502426,SM255921
Q502474,SM461495
Q503083,SM254615
Q503333,SM253887
Q503963,SM252548
Q504221,SM255179
Q504230,SM256986
Q504574,SM256141
Q504685,SM250065
Q504912,SM258224
Q508053,SM493085
Q508194,SM255328
Q508292,SM256851
Q509276,SM258808
Q509437,SM492805
Q509590,SM252956
Q510023,SM480796
Q510032,SM251771
Q510048,SM255531
Q510403,SM252968
Q510579,SM493102
Q512355,SM258241
Q512665,SM256381
Q515119,SM252441
Q516787,SM492669
Q517860,SM454528
Q518188,SM486473
Q519301,SM496679
Q520663,SM496916
Q521062,SM254709
Q521547,SM251010
Q523465,SM480357
Q523711,SM251141
Q524007,SM256253
Q524178,SM492985
Q524389,SM255597
Q524508,SM495391
Q525008,SM7602
Q526428,SM258785
Q527478,SM252738
Q528981,SM250324
Q530239,SM492961
Q532916,SM253507
Q533226,SM253682
Q534134,SM250774
Q534622,SM493026
Q536116,SM256573
Q536129,SM258113
Q537784,SM256358
Q538007,SM256498
Q539051,SM253682
Q540367,SM487095
Q540432,SM492761
Q541421,SM493234
Q541508,SM496016
Q541660,SM493837
Q541788,SM256319
Q542131,SM486421
Q543386,SM480783
Q544329,SM495650
Q545115,SM251543
Q547748,SM252569
Q548284,SM493665
Q548787,SM252543
Q549296,SM480307
Q549381,SM450400
Q549990,SM492796
Q552605,SM8574
Q553003,SM495726
Q555994,SM487382
Q557936,SM458140
Q558585,SM257669
Q559386,SM492519
Q560342,SM492521
Q561041,SM496916
Q566785,SM496996
Q567314,SM480700
Q567840,SM493033
Q568625,SM253384
Q569237,SM253952
Q570632,SM251012
Q570868,SM251605
Q571813,SM487388
Q571942,SM494507
Q572484,SM8190
Q572665,SM7389
Q574548,SM306057
Q576065,SM493185
Q576523,SM252919
Q577055,SM251100
Q577316,SM256741
Q577576,SM250703
Q578475,SM258622
Q579014,SM487532
Q579080,SM494221
Q579104,SM494405
Q579597,SM256168
Q580167,SM480256
Q580659,SM258670
Q581581,SM493048
Q581780,SM480552
Q581979,SM494402
Q582779,SM257594
Q583254,SM496985
Q583544,SM7597
Q584462,SM480197
Q585361,SM8107
Q587300,SM8181
Q588574,SM258188
Q588779,SM252428
Q588870,SM256472
Q589018,SM492526
Q589322,SM257346
Q589718,SM258766
Q589858,SM495364
Q591964,SM480247
Q592821,SM7416
Q594403,SM492217
Q596552,SM492628
Q596895,SM480633
Q597203,SM255520
Q597620,SM258655
Q598406,SM252957
Q599445,SM492528
Q599590,SM492529
Q599856,SM8254
Q600915,SM250539
Q602017,SM487232
Q602219,SM495660
Q602700,SM253960
Q602906,SM492718
Q602958,SM250454
Q603267,SM250940
Q603588,SM493131
Q604606,SM487115
Q604807,SM494640
Q605340,SM480431
Q605843,SM253394
Q606177,SM493156
Q606377,SM8859
Q606616,SM496466
Q607289,SM492397
Q607558,SM251592
Q607785,SM251649
Q607788,SM257904
Q608519,SM492693
Q609726,SM256164
Q610065,SM494796
Q610315,SM496381
Q610512,SM250327
Q611028,SM257285
Q611204,SM494578
Q611921,SM253944
Q612213,SM250036
Q612391,SM250037
Q612456,SM255680
Q612697,SM253894
Q612976,SM250043
Q613920,SM250038
Q614455,SM252017
Q615468,SM256126
Q615487,SM256056
Q616149,SM495612
Q616803,SM8285
Q617315,SM487059
Q617376,SM480137
Q617532,SM257475
Q617614,SM461960
Q617636,SM251656
Q617982,SM486471
Q619291,SM494077
Q619337,SM496913
Q619481,SM8476
Q619826,SM8482
Q622306,SM493125
Q622728,SM252802
Q622776,SM492536
Q623122,SM252050
Q623215,SM255822
Q623763,SM495044
Q623773,SM251668
Q623783,SM450423
Q623813,SM257841
Q624510,SM251670
Q625438,SM257091
Q625822,SM493985
Q625826,SM251745
Q626078,SM250611
Q626136,SM251680
Q626203,SM256728
Q626226,SM250294
Q626375,SM496918
Q627897,SM250991
Q628171,SM492537
Q628490,SM480272
Q629367,SM493130
Q629716,SM455347
Q630063,SM256635
Q630276,SM8794
Q630321,SM251692
Q631486,SM250391
Q633375,SM8421
Q633388,SM254007
Q635068,SM493009
Q636131,SM492105
Q636279,SM493656
Q636729,SM495611
Q637909,SM255879
Q638816,SM255751
Q639411,SM496667
Q640090,SM6272
Q640425,SM250896
Q640444,SM487390
Q640605,SM493471
Q641329,SM7970
Q641332,SM250903
Q641337,SM250471
Q641341,SM7354
Q641349,SM250904
Q641394,SM250540
Q641942,SM251473
Q642019,SM252605
Q642613,SM251006
Q642947,SM496687
Q643020,SM492911
Q643055,SM493153
Q643103,SM251738
Q644427,SM255739
Q644450,SM250089
Q645010,SM487239
Q645118,SM494235
Q645641,SM250109
Q646152,SM256239
Q646163,SM454370
Q647802,SM493834
Q648031,SM251700
Q648255,SM250334
Q648707,SM250998
Q649406,SM496222
Q650818,SM496004
Q650875,SM7638
Q650947,SM492698
Q651164,SM254149
Q652497,SM251682
Q652984,SM487225
Q653227,SM252402
Q653388,SM257838
Q653956,SM254027
Q654653,SM7563
Q654776,SM257232
Q654816,SM488647
Q655404,SM8080
Q655981,SM496015
Q656043,SM8077
Q656308,SM487246
Q656902,SM487233
Q657993,SM258725
Q658045,SM6724
Q659307,SM251646
Q659567,SM487140
Q659921,SM493016
Q660574,SM254772
Q660882,SM253888
Q660947,SM253785
Q661423,SM252213
Q662182,SM487830
Q663389,SM480958
Q663655,SM487526
Q664143,SM496913
Q664262,SM480761
Q664800,SM481023
Q665024,SM496631
Q669294,SM256570
Q669954,SM492541
Q671082,SM493512
Q672268,SM250853
Q672394,SM496899
Q672999,SM480378
Q673001,SM480882
Q673161,SM252449
Q674880,SM253284
Q675243,SM257673
Q676818,SM492935
Q677044,SM257783
Q677863,SM487247
Q678551,SM7657
Q679524,SM494236
Q681088,SM495654
Q682079,SM257785
Q682109,SM253042
Q682808,SM251746
Q682975,SM256779
Q683045,SM496876
Q683130,SM494836
Q683225,SM496876
Q683724,SM251712
Q683900,SM493658
Q684211,SM492816
Q684685,SM492774
Q684749,SM492993
Q685035,SM492040
Q685693,SM492545
Q686949,SM454417
Q687458,SM492045
Q688567,SM496985
Q688703,SM492595
Q689533,SM8069
Q689831,SM8066
Q690126,SM255282
Q690869,SM257213
Q690987,SM492546
Q691268,SM492752
Q691819,SM487259
Q692138,SM480716
Q692202,SM257793
Q692546,SM496899
Q692836,SM250188
Q694525,SM250543
Q695067,SM252939
Q697224,SM493300
Q697899,SM253913
Q697903,SM496031
Q697914,SM487139
Q698855,SM487121
Q699194,SM492916
Q699483,SM251678
Q699958,SM495513
Q701314,SM494130
Q701676,SM251758
Q701704,SM252538
Q702113,SM480689
Q702193,SM480877
Q702718,SM7587
Q702758,SM480390
Q703353,SM480973
Q703914,SM454371
Q704608,SM486600
Q704885,SM250041
Q705692,SM496915
Q706500,SM256998
Q706528,SM258680
Q706967,SM492971
Q707133,SM257867
Q707464,SM8477
Q709963,SM8475
Q710817,SM8480
Q714313,SM496918
Q714393,SM8474
Q715238,SM256628
Q715978,SM494407
Q715994,SM257201
Q716841,SM254616
Q716937,SM495518
Q717798,SM6957
Q718347,SM255115
Q719361,SM252952
Q719549,SM257177
Q719847,SM496985
Q720386,SM258746
Q720982,SM255280
Q721097,SM496034
Q721523,SM250737
Q721579,SM250846
Q721750,SM250078
Q721854,SM250941
Q722913,SM480835
Q723204,SM480167
Q723264,SM496153
Q724542,SM306045
Q725937,SM494262
Q726205,SM253960
Q726434,SM250487
Q726665,SM252585
Q726673,SM496920
Q726722,SM252909
Q726807,SM480598
Q727307,SM487758
Q727339,SM494264
Q727928,SM258320
Q728528,SM480525
Q729287,SM495960
Q731402,SM493451
Q732317,SM250232
Q733283,SM492555
Q733731,SM494148
Q735064,SM480392
Q735890,SM257514
Q735922,SM496277
Q737671,SM256396
Q737684,SM492934
Q738893,SM495656
Q739111,SM496876
Q739827,SM250748
Q739970,SM250674
Q740417,SM257494
Q741958,SM454534
Q744299,SM494885
Q745718,SM251603
Q746915,SM461510
Q747580,SM255787
Q748095,SM492556
Q748316,SM250759
Q748548,SM494696
Q749303,SM492557
Q749418,SM494197
Q749854,SM253451
Q750472,SM253233
Q750479,SM255161
Q750920,SM257217
Q750947,SM256819
Q752526,SM253442
Q752688,SM252647
Q753125,SM255065
Q753880,SM487511
Q754691,SM495785
Q755749,SM487227
Q756608,SM487229
Q756716,SM7606
Q756812,SM492065
Q756829,SM495138
Q756922,SM493289
Q757258,SM252981
Q757538,SM258245
Q757788,SM251772
Q758709,SM492730
Q760720,SM251041
Q760787,SM250549
Q761664,SM493011
Q762453,SM492736
Q764236,SM492558
Q765637,SM8444
Q766258,SM250992
Q767271,SM257666
Q767348,SM493745
Q768052,SM493000
Q769092,SM258645
Q769410,SM258620
Q771811,SM492078
Q772484,SM250932
Q772882,SM306081
Q774436,SM258657
Q774932,SM256839
Q776280,SM255863
Q777462,SM487547
Q777646,SM492560
Q780825,SM480951
Q781814,SM252150
Q782179,SM250798
Q782263,SM494260
Q782594,SM257845
